,leaid,rla_score,math_score,year
0,0100005,32,37,2018
1,0100006,40,43,2018
2,0100007,69,70,2018
3,0100008,71,75,2018
4,0100011,47,52,2018
5,0100012,37,42,2018
6,0100013,70,73,2018
7,0100030,52,47,2018
8,0100060,52,47,2018
9,0100090,22,27,2018
10,0100100,72,72,2018
11,0100120,52,52,2018
12,0100180,27,32,2018
13,0100185,57,57,2018
14,0100188,15,24,2018
15,0100189,52,62,2018
16,0100190,57,58,2018
17,0100194,52,52,2018
18,0100197,24,24,2018
19,0100210,64,72,2018
20,0100240,56,53,2018
21,0100270,50,53,2018
22,0100330,12,12,2018
23,0100360,42,42,2018
24,0100390,23,18,2018
25,0100420,48,46,2018
26,0100450,62,57,2018
27,0100510,32,27,2018
28,0100540,40,40,2018
29,0100600,37,32,2018
30,0100630,42,47,2018
31,0100660,37,38,2018
32,0100690,22,17,2018
33,0100720,27,32,2018
34,0100750,42,42,2018
35,0100780,47,42,2018
36,0100810,32,42,2018
37,0100840,37,32,2018
38,0100870,22,17,2018
39,0100900,34,24,2018
40,0100930,42,42,2018
41,0100960,37,32,2018
42,0100990,67,77,2018
43,0101020,46,47,2018
44,0101050,52,57,2018
45,0101080,27,22,2018
46,0101110,12,17,2018
47,0101140,34,37,2018
48,0101170,37,35,2018
49,0101200,47,47,2018
50,0101230,40,39,2018
51,0101260,15,34,2018
52,0101290,47,53,2018
53,0101320,54,58,2018
54,0101350,42,37,2018
55,0101380,43,44,2018
56,0101410,32,32,2018
57,0101440,17,7,2018
58,0101470,57,57,2018
59,0101530,50,53,2018
60,0101560,52,47,2018
61,0101590,32,37,2018
62,0101620,33,35,2018
63,0101640,42,47,2018
64,0101660,32,42,2018
65,0101680,7,12,2018
66,0101690,52,57,2018
67,0101710,27,27,2018
68,0101720,52,47,2018
69,0101730,67,72,2018
70,0101740,32,37,2018
71,0101760,72,82,2018
72,0101770,45,42,2018
73,0101800,50,47,2018
74,0101830,36,39,2018
75,0101860,47,57,2018
76,0101890,52,52,2018
77,0101920,36,31,2018
78,0101950,42,42,2018
79,0101980,15,24,2018
80,0102010,47,50,2018
81,0102040,35,38,2018
82,0102070,37,41,2018
83,0102100,44,39,2018
84,0102130,34,24,2018
85,0102160,12,17,2018
86,0102190,27,22,2018
87,0102220,54,55,2018
88,0102250,32,42,2018
89,0102310,37,42,2018
90,0102350,12,12,2018
91,0102370,32,37,2018
92,0102400,37,27,2018
93,0102430,34,27,2018
94,0102480,45,45,2018
95,0102490,89,91,2018
96,0102520,72,62,2018
97,0102550,62,72,2018
98,0102580,44,47,2018
99,0102610,37,47,2018
100,0102635,47,52,2018
101,0102640,37,47,2018
102,0102650,47,47,2018
103,0102670,17,12,2018
104,0102700,35,38,2018
105,0102730,32,22,2018
106,0102760,42,42,2018
107,0102790,32,32,2018
108,0102820,27,27,2018
109,0102850,32,42,2018
110,0102880,37,37,2018
111,0102910,52,47,2018
112,0102940,52,57,2018
113,0102970,12,7,2018
114,0103000,34,34,2018
115,0103030,58,61,2018
116,0103062,47,52,2018
117,0103090,17,12,2018
118,0103120,52,52,2018
119,0103150,27,22,2018
120,0103180,34,34,2018
121,0103210,32,32,2018
122,0103240,37,32,2018
123,0103270,15,24,2018
124,0103300,47,47,2018
125,0103330,37,37,2018
126,0103360,36,34,2018
127,0103390,41,45,2018
128,0103420,42,37,2018
129,0103430,81,82,2018
130,0103450,43,33,2018
131,0103480,42,37,2018
132,0103540,77,62,2018
133,0103580,42,42,2018
134,0200001,8,5,2018
135,0200006,27,22,2018
136,0200060,30,30,2018
137,0200070,44,24,2018
138,0200090,49,30,2018
139,0200100,34,15,2018
140,0200120,34,24,2018
141,0200130,47,17,2018
142,0200150,32,22,2018
143,0200180,35,25,2018
144,0200210,40,32,2018
145,0200240,47,32,2018
146,0200270,69,69,2018
147,0200390,40,24,2018
148,0200480,32,22,2018
149,0200485,49,30,2018
150,0200510,39,24,2018
151,0200540,44,15,2018
152,0200570,24,24,2018
153,0200600,30,23,2018
154,0200610,7,7,2018
155,0200625,12,7,2018
156,0200660,44,34,2018
157,0200720,49,49,2018
158,0200770,44,34,2018
159,0200780,24,24,2018
160,0200800,44,24,2018
161,0200810,49,30,2018
162,0200862,37,17,2018
163,0400001,70,69,2018
164,0400003,42,37,2018
165,0400016,32,32,2018
166,0400019,84,64,2018
167,0400021,74,54,2018
168,0400036,84,84,2018
169,0400041,47,27,2018
170,0400043,74,54,2018
171,0400052,44,44,2018
172,0400053,77,62,2018
173,0400056,92,82,2018
174,0400065,77,62,2018
175,0400070,84,84,2018
176,0400074,47,57,2018
177,0400078,17,15,2018
178,0400082,37,32,2018
179,0400083,7,12,2018
180,0400097,82,82,2018
181,0400103,8,12,2018
182,0400106,82,82,2018
183,0400107,7,17,2018
184,0400108,27,22,2018
185,0400112,53,51,2018
186,0400121,42,22,2018
187,0400130,30,30,2018
188,0400144,34,24,2018
189,0400149,17,17,2018
190,0400157,47,42,2018
191,0400163,15,15,2018
192,0400197,36,40,2018
193,0400202,64,74,2018
194,0400204,17,17,2018
195,0400209,49,49,2018
196,0400211,84,84,2018
197,0400223,74,64,2018
198,0400225,67,67,2018
199,0400231,69,69,2018
200,0400238,74,54,2018
201,0400241,72,72,2018
202,0400243,15,15,2018
203,0400248,30,69,2018
204,0400261,17,12,2018
205,0400273,11,16,2018
206,0400278,24,24,2018
207,0400280,64,64,2018
208,0400282,22,27,2018
209,0400288,7,7,2018
210,0400290,34,24,2018
211,0400295,37,35,2018
212,0400303,12,7,2018
213,0400311,17,12,2018
214,0400316,17,17,2018
215,0400327,52,42,2018
216,0400329,35,33,2018
217,0400341,32,37,2018
218,0400345,42,43,2018
219,0400347,36,39,2018
220,0400348,39,38,2018
221,0400349,42,42,2018
222,0400352,12,22,2018
223,0400353,17,17,2018
224,0400354,12,17,2018
225,0400355,12,7,2018
226,0400357,15,15,2018
227,0400363,30,30,2018
228,0400364,15,24,2018
229,0400373,30,30,2018
230,0400381,69,30,2018
231,0400383,15,15,2018
232,0400384,17,15,2018
233,0400385,17,12,2018
234,0400386,7,7,2018
235,0400389,12,22,2018
236,0400395,34,44,2018
237,0400402,34,34,2018
238,0400407,44,34,2018
239,0400414,15,30,2018
240,0400417,67,57,2018
241,0400426,69,69,2018
242,0400427,57,52,2018
243,0400432,35,28,2018
244,0400440,87,92,2018
245,0400447,42,37,2018
246,0400450,51,57,2018
247,0400463,30,30,2018
248,0400610,34,44,2018
249,0400612,15,22,2018
250,0400614,74,64,2018
251,0400615,44,53,2018
252,0400618,7,17,2018
253,0400619,22,17,2018
254,0400621,12,17,2018
255,0400633,17,12,2018
256,0400636,22,17,2018
257,0400653,69,69,2018
258,0400655,92,92,2018
259,0400680,47,47,2018
260,0400746,54,64,2018
261,0400752,40,41,2018
